id|scientific_name|common_name|category
1|Acacia adunca|Cascade wattle, Wallangarra wattle|1a
2|Acacia baileyana|Bailey’s wattle|3
3|Acacia cyclops|Red eye|1b
4|Acacia dealbata|Silver wattle|2
5|Acacia decurrens and hybrids, varieties and selections|Green wattle|2
6|Acacia elata|Pepper tree wattle|1b
7|Acacia fimbriata|Fringed wattle, Brisbane wattle|1a
8|Acacia implexa|Screw pod wattle|1a
9|Acacia longifolia|Long-leaved wattle|1b
10|Acacia mearnsii and hybrids, varieties and selections|Black wattle|2
11|Acacia melanoxylon and hybrids, varieties and selections|Australian blackwood|2
12|Acacia paradoxa|Kangaroo thorn, Kangaroo wattle|1a
13|Acacia podalyriifolia|Pearl acacia|1b
14|Acacia pycnantha|Golden wattle|1b
15|Acacia saligna|Port Jackson, Port Jackson willow|1b
16|Acacia stricta|Hop wattle|1a
17|Acer buergerianum|Chinese maple|See below a. 3 in Eastern Cape, KwaZulu-Natal, Limpopo, Mpumalanga, North-West, Northern Cape, and Western Cape. b. Not listed in urban areas in the Eastern Cape, KwaZulu-Natal, Limpopo, Mpumalanga, North-West, Northern Cape, and Western Cape. c. Not listed elsewhere
18|Acer negundo|Ash-leaved maple, Box elder|a. 3, b. Sterile cultivars or hybrids are not listed.
19|Agave americana subsp. americana var. expansa|Spreading century-plant|a. 3 in Western Cape. b. Not listed elsewhere.
20|Agave sisalana|Sisal hemp, |Sisal|2
21|Ageratina adenophora|Crofton weed|1b
22|Ageratina riparia|Mistflower|1b
23|Ageratum conyzoides|Invading ageratum|1b
24|Ageratum houstonianum|Mexican ageratum|a. 1b, b. Sterile cultivars or hybrids are not listed.
25|Agrimonia procera|Scented agrimony|1b
26|Agrostis castellana|Bent grass|See below a. 1a Prince Edward Island. b. 1b Marion Island. c. Not listed on mainland or other off-shore islands.
27|Agrostis gigantea|Black bent grass, Redtop|See below a. 1a Prince Edward and Marion Islands. b. Not listed on mainland or other off-shore islands.
28|Agrostis stolonifera|Creeping bent grass|See below a. 1a Prince Edward Island. b. 1b Marion Island. c. Not listed on mainland or other off-shore islands.
29|Ailanthus altissima|Tree-of-heaven|1b
30|Albizia lebbeck|Lebbeck tree|1b
31|Albizia procera|False lebbeck|1b
32|Alhagi maurorum|Camel thorn bush|1b
33|Alisma plantago-aquatica|Mud plantain, Water alisma|1b
34|Alopecurus geniculatus|Marsh foxtail, Water foxtail|See below a. 1a Prince Edward and Marion Islands. b. Not listed on mainland or other off-shore islands.
35|Alpinia zerumbet|Shell ginger, Pink porcelain lily|3
36|Ammophila arenaria|Marram grass|3
37|Anredera cordifolia|Madeira vine, Bridal wreath|1b
38|Antigonon leptopus|Coral creeper|1b
39|Araujia sericifera|Moth catcher|1b
40|Ardisia crenata|Coralberry tree, Coral Bush|1b
41|Ardisia elliptica|Shoebutton ardisia|1b
42|Argemone mexicana|Yellow-flowered Mexican poppy|1b
43|Argemone ochroleuca|White-flowered Mexican poppy|1b
44|Aristolochia elegans|Dutchman’s pipe|1b
45|Arundo donax|Giant reed, Spanish reed|1b
46|Atriplex inflata|Sponge-fruit saltbush|1b
47|Atriplex nummularia subsp. nummularia|Old man saltbush|2
48|Austrocylindropuntia cylindrica|Cane cactus|1a
49|Austrocylindropuntia subulata|Long spine cactus|1b
50|Azolla cristata|Tropical red water fern|1b
51|Azolla filiculoides|Azolla, Red water fern|1b
52|Azolla pinnata subsp. asiatica|Mosquito fern|1b
53|Bartlettina sordida|Bartlettina|1b
54|Bauhinia purpurea|Butterfly orchid tree|See below a. 1b in Eastern Cape, KwaZulu-Natal, Limpopo and Mpumalanga. b. 3 in Free State, Gauteng, North-West, Northern Cape and Western Cape.
55|Bauhinia variegata|Orchid tree|See below a. 1b in Eastern Cape, KwaZulu-Natal, Limpopo and Mpumalanga. b. 3 in Free State, Gauteng, North-West, Northern Cape and Western Cape.
56|Berberis thunbergii|Japanese barberry|a. 3, b. Sterile cultivars or hybrids are not listed.
57|Billardiera heterophylla|Bluebell creeper|1a
58|Bryophyllum delagoense|Chandelier plant|1b
59|Bryophyllum pinnatum|Cathedral bells|1b
60|Bryophyllum proliferum|Green mother of millions|1b
61|Buddleja davidii|Chinese sagewood, Summer lilac|a. 3, b. Sterile cultivars or hybrids are not listed.
62|Buddleja madagascariensis|Madagascar sagewood|3
63|Cabomba caroliniana|Cabomba, Carolina fanwort|1a
64|Caesalpinia decapetala|Mauritius thorn|1b
65|Caesalpinia gilliesii|Bird-of-paradise flower|1b
66|Callisia repens|Creeping inch plant|1b
67|Callistemon citrinus|Lemon bottlebrush|3
68|Callistemon rigidus|Stiff-leaved bottlebrush|See below a. 1b in Eastern Cape and Western Cape. b. 3 in Free State, Gauteng, KwaZulu-Natal, Limpopo, Mpumalanga, North-West, and Northern Cape.
69|Callistemon viminalis|Weeping bottlebrush|See below a. 1b in Eastern Cape, KwaZulu-Natal, Limpopo and Mpumalanga. b. 3 in Free State, Gauteng, North-West, Northern Cape and Western Cape. c. Sterile cultivars or hybrids are not listed.
70|Calotropis procera|Calotropis, Giant-milkweed|1b
71|Campuloclinium macrocephalum|Pompom weed|1b
72|Canna indica|Indian shot|a. 1b b. Sterile cultivars or hybrids are not listed.
73|Cardiospermum grandiflorum|Balloon vine|1b
74|Cardiospermum halicacabum|Lesser balloon vine|3
75|Carduus nutans|Nodding thistle|1b
76|Casuarina cunninghamiana|Beefwood|a. 2 b. 1b within 100 metres of riparian areas or untransformed land
77|Casuarina equisetifolia|Horsetail tree|2
78|Catharanthus roseus|Madagascar periwinkle|a. 1b b. Sterile cultivars or hybrids are not listed.
79|Celtis australis|Nettle tree, European hackberry|3
80|Celtis occidentalis|Common hackberry|3
81|Centranthus ruber|Red valerian, Devil’s beard|a. 1b in Western Cape b. Not listed elsewhere
82|Cerastium fontanum|Common mouse-ear chickweed|a. 1b Prince Edward and Marion Islands b. Not listed on mainland or other off-shore islands.
83|Cereus hexagonus|Queen of the night|1b
84|Cereus hildmannianus|Queen of the night|1b
85|Cereus jamacaru|Queen of the night|1b
86|Cestrum aurantiacum|Orange cestrum|1b
87|Cestrum elegans|Crimson cestrum|1b
88|Cestrum laevigatum|Inkberry|1b
89|Cestrum parqui|Chilean cestrum|1b
90|Cestrum species not specifically listed|Cestrum species|a. 3 b. Sterile cultivars or hybrids are not listed.
91|Chondrilla juncea|Skeleton weed|1a
92|Chromolaena odorata|Triffid weed, Chromolaena|1b
93|Cinnamomum camphora|Camphor tree|a. 1b in Eastern Cape, KwaZulu-Natal, Limpopo and Mpumalanga. b. 3 in Western Cape. c. National Heritage Trees or National Monument Trees in terms of the National Heritage Resources Act, 1999, (Act No. 25 of 1999) in Eastern Cape, KwaZulu-Natal, Limpopo, Mpumalanga and the Western Cape, are not listed. d. Not listed elsewhere.
94|Cirsium vulgare|Spear thistle, Scotch thistle|1b
95|Convolvulus arvensis|Field bindweed, Wild morning-glory|1b
96|Coreopsis lanceolata|Tickseed|See below a. 1a b. Sterile cultivars or hybrids are not listed.
97|Cortaderia jubata|Pampas grass|1b
98|Cortaderia selloana|Pampas grass|See below a. 1a b. Sterile cultivars or hybrids are not listed.
99|Cotoneaster franchetii|Cotoneaster|1b
100|Cotoneaster glaucophyllus|Late cotoneaster|1b
